model,method,run,rmsd,kld,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_000.bnet,random_mc,15,0.4206740857409419,0.47282331988069526,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,16,0.4234784259716808,0.47755879781009974,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,17,0.4236645132204721,0.4778742705527883,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,18,0.42069773219041934,0.4728635357088512,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,19,0.425920587756176,0.48170851476322696,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,20,0.42233560171748324,0.4756254679369974,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,21,0.4242303275782988,0.47883368624517125,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,22,0.42429197677585095,0.4789385228425579,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,23,0.42467315130035194,0.4795856535466213,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,24,0.4219691593971096,0.47500643977775564,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,25,0.4252396143531297,0.48054881877936795,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,26,0.42465096256375456,0.4795480288043537,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,27,0.42257641121926304,0.47603261891444193,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,28,0.4213077442450946,0.47389075426743993,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,29,0.4218779547513703,0.4748525132943354,1408,576,64,0,1024,2,asynchronous
n010_001.bnet,sd_mc,,0.2041548745000179,0.31127453738744004,116,26,178,0,64,5,asynchronous
n010_001.bnet,null_mc,,0.3047859750052417,1.068622580675433,116,180,24,0,64,5,asynchronous
n010_001.bnet,ref,,0.3213124846346903,1.1734131457803492,116,204,0,0,64,5,asynchronous
n010_001.bnet,random_mc,0,0.2992870662221378,1.0261402488853546,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,1,0.29978638320937306,1.0369805939509658,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,2,0.2967886780756278,1.009868504396012,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,3,0.3030110787384134,1.0545238086329072,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,4,0.29829615953730393,1.0187795793989234,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,5,0.2989064422871204,1.0219481179763443,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,6,0.30056791364516244,1.0347638718111853,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,7,0.3017971679619157,1.05414134555392,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,8,0.3008076689134851,1.0364786882836041,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,9,0.3056175172082393,1.0739820075424364,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,10,0.30478927448957993,1.0642841524315272,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,11,0.30702020287529697,1.0777397914615547,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,12,0.3030860011194734,1.0543698304289002,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,13,0.3015474076367275,1.049172022614489,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,14,0.2912654108879276,0.9729217048399939,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,15,0.29977005304027915,1.0318428068178869,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,16,0.29675053906284027,1.0105207462160113,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,17,0.30488968317976517,1.0661931384977463,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,18,0.2990500426470733,1.025390762081059,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,19,0.3010542979518569,1.0328466813543278,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,20,0.2953871684495682,1.0124889808383035,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,21,0.30150588993078564,1.0387395630914709,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,22,0.3015188675369548,1.043945257788999,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,23,0.29864058416804296,1.024756520628872,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,24,0.30230352823322093,1.048983271980306,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,25,0.29688300402609635,1.0157719320373446,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,26,0.301176944872304,1.0419639604421735,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,27,0.30191416887764727,1.0488411555266377,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,28,0.3035003065723503,1.0557713529902295,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,29,0.3020422215211776,1.0480980820117765,116,180,24,0,64,5,asynchronous
n010_004.bnet,sd_mc,,0.22981484410907713,0.36673431310523863,1294,179,575,0,512,4,asynchronous
n010_004.bnet,null_mc,,0.33836686596515914,0.881313655850859,1294,742,12,0,512,4,asynchronous
n010_004.bnet,ref,,0.34466888367994863,0.9148934639001611,1294,754,0,0,512,4,asynchronous
n010_004.bnet,random_mc,0,0.3371588127776699,0.8748644369566471,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,1,0.33669518113973956,0.8738342715627002,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,2,0.3361986631868411,0.8708679407300615,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,3,0.3377098620550797,0.8781543638401772,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,4,0.33730914491208824,0.8755993434705739,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,5,0.3385087067686161,0.8819696935962588,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,6,0.33699480632942336,0.8737282254213428,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,7,0.33943141032163654,0.8873885049708174,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,8,0.33745818253657195,0.8761607429177887,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,9,0.3386914653755683,0.8833309645465488,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,10,0.34095267059072654,0.8955896905158744,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,11,0.3375162603906187,0.8774369579630271,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,12,0.3368162897091322,0.8728867946956184,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,13,0.33905685857175505,0.8854031435394984,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,14,0.33623172146634106,0.869110310165155,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,15,0.33733052604450353,0.8758070340581091,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,16,0.3371655281504785,0.8743167025585349,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,17,0.33790559326409325,0.8790303445399077,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,18,0.337811573711772,0.8794027699369156,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,19,0.33598227963907584,0.8670421013237001,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,20,0.3391809649461487,0.885263152122907,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,21,0.34181139670698935,0.900124749554088,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,22,0.3374521746898223,0.8764843039198338,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,23,0.3388494909386519,0.8836463011748247,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,24,0.3374573943904311,0.8770145249364342,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,25,0.335590253513841,0.8672702900998968,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,26,0.33932261200384484,0.8862919662759069,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,27,0.3332155231793922,0.8521685982203919,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,28,0.34032362869846866,0.8920747063401642,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,29,0.3417809472422209,0.9013751869842211,1294,742,12,0,512,4,asynchronous
n010_006.bnet,sd_mc,,0.2487273298298475,0.1552780979622391,1916,36,96,0,1024,2,asynchronous
n010_006.bnet,null_mc,,0.3148547489160148,0.24791873791519808,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,ref,,0.31562920359967755,0.24927254100222923,1916,132,0,0,1024,2,asynchronous
n010_006.bnet,random_mc,0,0.3203476661873501,0.2548989589431094,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,1,0.31797119066347257,0.251863470056126,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,2,0.31631903876202766,0.24976724587866403,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,3,0.3183795372677517,0.25238335886530927,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,4,0.3168964788159837,0.25049860207843794,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,5,0.3142018010183557,0.24709723839649467,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,6,0.32019968569576907,0.25470921679350295,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,7,0.31338028957168945,0.24606605274747878,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,8,0.31013663569016603,0.24201976950098716,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,9,0.32109212189443104,0.2558548684708704,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,10,0.31642376648945597,0.24989977795023124,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,11,0.31301575824677064,0.24560934197276346,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,12,0.3015869023177062,0.23152529353053786,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,13,0.3147224153786656,0.24775210576303835,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,14,0.3132006520021693,0.2458409076662588,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,15,0.3164953139431366,0.24999035567074818,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,16,0.3136775982848586,0.2464389437250015,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,17,0.31810710760927297,0.25203644634172284,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,18,0.31097570827648796,0.24306269071434866,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,19,0.3165312881794906,0.25003590882483806,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,20,0.31721977555270275,0.2509086944897128,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,21,0.31099696962593154,0.24308915666867992,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,22,0.3173498023882939,0.2510737284931796,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,23,0.3140343300030706,0.2468868084015638,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,24,0.30604787408520573,0.23697271204194942,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,25,0.31701045022325647,0.2506431103206371,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,26,0.31358381645405997,0.24632128256111555,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,27,0.31611206010680226,0.24950543155511573,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,28,0.31671726503249736,0.2502714607473114,1916,130,2,0,1024,2,asynchronous
n010_006.bnet,random_mc,29,0.3141366737423617,0.24701537223687792,1916,130,2,0,1024,2,asynchronous
n010_007.bnet,sd_mc,,0.10106663862352419,0.024028415225300394,1012,7,5,0,512,2,asynchronous
n010_007.bnet,null_mc,,0.1199002719162952,0.03376035811075151,1012,10,2,0,512,2,asynchronous
n010_007.bnet,ref,,0.1442274010256599,0.04740255072938404,1012,12,0,0,512,2,asynchronous
n010_007.bnet,random_mc,0,0.11923088961599686,0.03343405106784953,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,1,0.11897860022345101,0.03331137626714831,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,2,0.12083617152954006,0.03421709603777646,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,3,0.11970516977254712,0.03366523486893137,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,4,0.11941512243347423,0.03352419295750818,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,5,0.12115592621452115,0.0343737431924853,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,6,0.12212101252230532,0.03484797296449004,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,7,0.11981256406584333,0.033717578614829505,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,8,0.11970166501297455,0.03366561387742806,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,9,0.11909883711486931,0.03336999833513127,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,10,0.11932195359799955,0.03347882516443505,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,11,0.11905480924506914,0.0333483637122466,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,12,0.11920278713582003,0.03342075110675801,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,13,0.11944105134580525,0.03353654912008699,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,14,0.11933830928052121,0.033486693932080064,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,15,0.11908559098522903,0.03336336505960537,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,16,0.11949595981333376,0.03356340573995459,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,17,0.11870407759778136,0.03317759487172102,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,18,0.11951252587158448,0.03357167138620875,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,19,0.12675333087103913,0.037168830072454404,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,20,0.12000706332997066,0.033812319794701375,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,21,0.12215977897872386,0.03486741877772225,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,22,0.11940441959088827,0.033518778788167766,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,23,0.11890619510548428,0.033276178905589024,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,24,0.1194780986844828,0.0335546688889832,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,25,0.12835073684109355,0.03817026512463917,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,26,0.119336934475845,0.033486122912967306,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,27,0.12042752480432893,0.034017426238995674,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,28,0.1194073395273639,0.03352026486617429,1012,10,2,0,512,2,asynchronous
n010_007.bnet,random_mc,29,0.1198675099917587,0.033744370977743035,1012,10,2,0,512,2,asynchronous
n010_008.bnet,sd_mc,,0.1618236202178396,0.12773473283915268,440,38,290,0,256,3,asynchronous
n010_008.bnet,null_mc,,0.3338998576399801,0.6296526601282006,440,260,68,0,256,3,asynchronous
n010_008.bnet,ref,,0.3811188438478686,0.732344353804868,440,328,0,0,256,3,asynchronous
n010_008.bnet,random_mc,0,0.33347859319184653,0.6277105473861755,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,1,0.3338047806059577,0.6293279051937642,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,2,0.33233357729958035,0.6213562182958436,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,3,0.334664400193272,0.6347095739944513,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,4,0.3328840894259417,0.6236113241288108,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,5,0.3339395534623994,0.6300937580800736,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,6,0.3337999336533535,0.6292576062569037,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,7,0.33342985259074326,0.627312093030111,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,8,0.3323399826453922,0.6203390827127357,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,9,0.33312148764618155,0.6255797061621133,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,10,0.33340209855463954,0.6271400282039279,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,11,0.33391782444581636,0.6295714469110754,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,12,0.3336454828183994,0.6280447525057788,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,13,0.3336684961158688,0.6289678271264592,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,14,0.3338752012463019,0.6304463284089332,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,15,0.3324853437036195,0.6227197950919734,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,16,0.33364241022706326,0.6275252039743562,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,17,0.33389537020228444,0.6298741285643314,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,18,0.33358664268378624,0.6279364412756026,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,19,0.33400566458375064,0.6303347487570823,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,20,0.33389587694069317,0.6296914973848563,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,21,0.33386646733895536,0.62951076778759,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,22,0.3330884958502211,0.623836883126714,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,23,0.33480612348208405,0.6367167109273284,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,24,0.3339534110215505,0.6298704143324938,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,25,0.33268647471084295,0.6232750394164308,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,26,0.33252685473058347,0.6227578331378831,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,27,0.3338074524038615,0.6299473882672324,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,28,0.33391400187629316,0.6295900287717822,440,260,68,0,256,3,asynchronous
n010_008.bnet,random_mc,29,0.33332910053312775,0.6265391730824521,440,260,68,0,256,3,asynchronous
n010_009.bnet,sd_mc,,0.10984331937976617,0.030609041215996665,366,2,144,0,256,2,asynchronous
n010_009.bnet,null_mc,,0.30477350177338763,0.3191056457177869,366,17,129,0,256,2,asynchronous
n010_009.bnet,ref,,0.40669576168822413,0.4464418302346418,366,146,0,0,256,2,asynchronous
n010_009.bnet,random_mc,0,0.30333432903864055,0.3126834773454075,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,1,0.30506827012324134,0.3205690050664153,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,2,0.3046630740133286,0.31874862625027117,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,3,0.3048374257630225,0.31941791784581564,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,4,0.30467102546714797,0.3186937352069077,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,5,0.30344980644321096,0.3139666748352274,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,6,0.306115953051798,0.32629953142725165,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,7,0.305028058756423,0.32037246656630886,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,8,0.3053007056519395,0.3219011765644145,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,9,0.30483662220734653,0.31941487526769546,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,10,0.3037008569048457,0.3150990735715128,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,11,0.30476146093919004,0.31904862513692295,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,12,0.3046022340908849,0.31834313004094084,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,13,0.3044237538556537,0.31746739195995605,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,14,0.3047933760290803,0.3192104580738383,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,15,0.3021311300678106,0.3075625633840654,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,16,0.3045544332610501,0.31880047889476787,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,17,0.3051538749138845,0.3213624533465582,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,18,0.30476944053278215,0.31909507763755823,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,19,0.30434181669158644,0.3179032664813682,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,20,0.3036720080521993,0.31419669606593736,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,21,0.3047029058486202,0.31925391120724583,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,22,0.3051877339038125,0.3215009549230279,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,23,0.30473373511376955,0.31892366768248226,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,24,0.3059713787301673,0.32568277785499616,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,25,0.30497050692124816,0.32011046982795954,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,26,0.3062865499029005,0.3273135869345476,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,27,0.30440583078698147,0.31842702678896917,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,28,0.3043698733321987,0.3172035799743069,366,17,129,0,256,2,asynchronous
n010_009.bnet,random_mc,29,0.30507553469117926,0.32266033242158954,366,17,129,0,256,2,asynchronous
n010_011.bnet,sd_mc,,0.1578009327779625,0.0939627043928237,808,20,708,0,512,3,asynchronous
n010_011.bnet,null_mc,,0.5061265241359065,1.4160229650653953,808,658,70,0,512,3,asynchronous
n010_011.bnet,ref,,0.38288884603993606,0.758896774200194,808,728,0,0,512,3,asynchronous
n010_011.bnet,random_mc,0,0.5037181992951224,1.3922524193900094,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,1,0.5054341993042396,1.41730788734067,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,2,0.5081039467566678,1.4395520296439308,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,3,0.5046136861104232,1.4175799835237686,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,4,0.5046848947811668,1.4143720238422468,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,5,0.5066206404036836,1.4241275572841978,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,6,0.5063082088768657,1.4224264685367913,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,7,0.5029760641343598,1.3861691291771736,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,8,0.5022061923874683,1.3770392752134377,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,9,0.5068562574318166,1.4214655446689721,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,10,0.5070645585384019,1.418733120247441,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,11,0.5055430963502989,1.4097628692188022,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,12,0.5056850210392942,1.4136723056587908,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,13,0.5057520434112054,1.4278192875936913,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,14,0.5039988040470369,1.4029571712382019,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,15,0.5052383914213034,1.4179017974606254,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,16,0.5037452861558007,1.3998592920453166,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,17,0.5058745368191074,1.4216866440762295,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,18,0.4994421846021634,1.347340263193411,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,19,0.5079353702319198,1.436179337796935,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,20,0.5068775705578289,1.4288707380717853,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,21,0.5064466021865163,1.418886935292221,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,22,0.5051641265617587,1.4034336018869644,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,23,0.5041430786258824,1.4021559249631323,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,24,0.5026482153671319,1.3729127500514648,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,25,0.5051730632351112,1.4080855899796407,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,26,0.5032757895271021,1.3982284958559292,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,27,0.5045676297103853,1.4002021308967827,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,28,0.5068300480164737,1.4275656710009361,808,658,70,0,512,3,asynchronous
n010_011.bnet,random_mc,29,0.5086768923984565,1.4554611728815512,808,658,70,0,512,3,asynchronous
n010_013.bnet,sd_mc,,0.02453266907313291,0.0018673430479600244,18,0,30,0,16,3,asynchronous
